Nome_Do_Carro,ValorEuros,Marca,TipoCombustivel,Quilometragem,Cilindrada,PotenciaMotor,TipoCarro,CaixaDeVelocidades,Ano
mercedesbenz c 200 amg line,59500,mercedes-benz,gaz,8000,1497,184,coupe,automatic,2021
mazda cx5 2 2 d evolve hs ht navi,15990,mazda,diesel,180000,2191,150,suv,manual,2014
mini cabrio cooper d auto,22400,mini,diesel,100000,1995,112,cabrio,automatic,2011
mercedesbenz c 250 cdi avantgarde blueefficiency aut,19450,mercedes-benz,diesel,145000,2143,204,combi,automatic,2011
volvo v90 2 0 t8 momentum plus awd geartronic,53000,volvo,hibride-gaz,21000,1969,392,combi,automatic,2019
fiat 500 1 2 pop,8250,fiat,gaz,71000,1242,69,mini,manual,2013
audi a4 allroad 2 0 tdi quattro advance,13990,audi,diesel,289665,1968,143,combi,manual,2010
mercedesbenz s 400 d,106000,mercedes-benz,diesel,41939,2925,340,sedan,automatic,2020
bmw x5 m m50 d,85500,bmw,diesel,110000,2993,400,suv,automatic,2018
bmw 530 da,11900,bmw,diesel,320000,2993,218,sedan,automatic,2004
bmw 318 d touring auto line sport,17990,bmw,diesel,264923,1995,143,combi,automatic,2013
mitsubishi l400 2 5 td gl,3265,mitsubishi,diesel,311000,2477,87,minivan,manual,1998
mercedesbenz c 220,17900,mercedes-benz,diesel,240191,2143,170,combi,manual,2014
fiat tipo 1 6 mjet lounge tech dct,18490,fiat,diesel,40466,1598,120,city-car,automatic,2019
renault clio break,12450,renault,diesel,105235,1500,90,combi,manual,2016
audi a5 sportback 40 tdi sport s tronic,32990,audi,diesel,220000,1968,190,sedan,automatic,2019
smart fortwo electric drive passion,14900,smart,electric,10162,400,82,city-car,automatic,2017
citron c4 1 6hdi90,10900,citroen,diesel,232587,1560,92,sedan,manual,2013
renault laguna break 1 5 dci dynamique s,6850,renault,diesel,201000,1461,110,combi,manual,2008
audi a6 allroad 3 0 tdi quattro adv s tronic,35980,audi,diesel,155905,2967,218,combi,automatic,2016
opel insignia sports tourer 1 6 cdti executive s s,16490,opel,diesel,87385,1598,136,combi,manual,2016
mercedesbenz c 220 d avantgarde aut,21990,mercedes-benz,diesel,308800,2143,170,combi,automatic,2017
volvo xc 60 2 0 d3 drive momentum start stop,19000,volvo,diesel,140000,1984,163,suv,manual,2011
toyota auris touring sports 1 4 d4d c p sport navi,18900,toyota,diesel,78954,1364,90,combi,manual,2017
ford focus 1 4 ambiente,1750,ford,gaz,258939,1388,75,compact,manual,2000
bmw 118 d,16900,bmw,diesel,232000,1995,143,cabrio,manual,2011
land rover range rover velar,65900,land-rover,diesel,86468,1999,241,suv,automatic,2018
mercedesbenz e 220 cdi elegance,3500,mercedes-benz,diesel,426800,2151,125,sedan,manual,1998
renault captur 1 5 dci exclusive edc,26900,renault,diesel,19515,1461,115,suv,automatic,2020
mini cooper d auto,18990,mini,diesel,90000,1496,116,city-car,automatic,2015
audi q5 2 0 tdi sport stronic,20750,audi,diesel,210000,1968,170,suv,automatic,2010
peugeot 5008,9450,peugeot,diesel,274146,1560,110,minivan,manual,2009
fiat tipo 1 3 mjet lounge,11290,fiat,diesel,225434,1248,95,compact,manual,2018
renault zoe,11350,renault,electric,35000,,88,compact,automatic,2015
citron c3 aircross 1 2 puretech cseries,21990,citroen,gaz,70,1199,110,compact,manual,2022
smart fortwo 1 0 71 passion aut,12750,smart,gaz,50000,999,71,cabrio,automatic,2016
mercedesbenz e 300 bluetec hybrid avantgarde,22000,mercedes-benz,hibride-diesel,232000,2143,231,combi,automatic,2014
bmw 118 d pack m,12990,bmw,diesel,209000,1995,143,compact,manual,2009
renault scnic,4700,renault,diesel,212000,1461,105,compact,manual,2006
vw passat variant 2 0 tdi confortline dsg,18950,vw,diesel,220134,1968,150,combi,automatic,2018
bmw x1 20 d xdrive auto,25850,bmw,diesel,153250,1995,190,suv,automatic,2015
mercedesbenz a 200 cdi avantgarde,7750,mercedes-benz,diesel,270000,1992,140,compact,manual,2005
bmw m550d xdrive auto,37900,bmw,diesel,191438,2993,381,sedan,automatic,2013
lexus nx 300h f sport 4wd,32900,lexus,hibride-gaz,100000,2494,197,suv,automatic,2016
renault clio 1 5 blue dci intens,19900,renault,diesel,132000,1461,115,compact,manual,2019
audi a4,13400,audi,diesel,207490,1968,136,sedan,manual,2010
renault captur 1 0 tce exclusive,21900,renault,gaz,20364,999,91,suv,manual,2021
smart fortwo pure cdi 41,4750,smart,diesel,202000,799,41,city-car,automatic,2005
mercedesbenz e 250 cdi avantgarde be auto,23790,mercedes-benz,diesel,264432,2143,204,combi,automatic,2013
vw golf 2 0 tdi confortline,3200,vw,diesel,314619,1968,140,compact,manual,2004
jaguar xj 5 0 v8 s c lwb supersport,37500,jaguar,gaz,146000,5000,510,sedan,automatic,2010
smart fortwo electric drive passion,13900,smart,electric,19182,400,82,city-car,automatic,2017
bmw m4 auto,74990,bmw,gaz,43433,2979,431,coupe,automatic,2018
peugeot 308 1 6 hdi active,10490,peugeot,diesel,233417,1560,92,compact,manual,2015
citron xsara break 1 4 hdi sx plus,3400,citroen,diesel,223749,1398,69,combi,manual,2004
citron c3 aircross 1 2 puretech cseries,21950,citroen,gaz,79,1199,110,suv,manual,2021
opel astra caravan 1 6 elegance easytronic,6900,opel,gaz,154800,1598,105,combi,automatic,2005
audi a3 1 6 attraction,2500,audi,gaz,259138,1595,102,compact,manual,2001
mercedesbenz cla 35 amg 4matic,65990,mercedes-benz,gaz,26214,1991,306,combi,automatic,2019
opel astra sports tourer 1 5 d business edition s s,23990,opel,diesel,14900,1496,122,combi,manual,2021
