Nome_Do_Carro,ValorEuros,Marca,TipoCombustivel,Quilometragem,Cilindrada,PotenciaMotor,TipoCarro,CaixaDeVelocidades,Ano
mercedesbenz c 220 cdi avantgarde,13900,mercedes-benz,diesel,315000,2148,170,compact,manual,2008
renault captur 1 0 tce exclusive,24500,renault,gaz,16902,999,100,sedan,,2021
renault mgane sport tourer 1 5 dci gt line,8990,renault,diesel,200000,1461,110,combi,manual,2011
opel astra 1 7 cdti enjoy,9490,opel,diesel,210300,1686,125,city-car,manual,2012
citron c5,3250,citroen,diesel,215000,1997,110,sedan,manual,2001
bmw 418 gran coup d pack m auto,36900,bmw,diesel,43000,1995,150,sedan,automatic,2019
bmw 318 d auto line luxury,17990,bmw,diesel,136254,1995,143,sedan,automatic,2012
mercedesbenz e 220,5600,mercedes-benz,diesel,341191,2148,150,sedan,automatic,2003
audi a3 sportback 1 6 tdi,14990,audi,diesel,208394,1598,110,compact,manual,2016
mercedesbenz c 220 d amg line aut,55990,mercedes-benz,diesel,35500,1950,194,cabrio,automatic,2019
smart forfour 1 0 71 aut,13997,smart,gaz,26000,999,71,city-car,automatic,2018
vw golf variant 1 6 tdi confortline,20950,vw,diesel,29000,1598,115,combi,manual,2018
porsche panamera s ehybrid,46500,porsche,hibride-gaz,233000,2995,416,sedan,automatic,2014
land rover range rover velar 2 0 d rdynamic s,79950,land-rover,diesel,23140,1999,180,suv,automatic,2020
mercedesbenz g 63 amg standard,129900,mercedes-benz,gaz,118045,5461,571,suv,automatic,2016
toyota camry 2 5 hybrid limousine,37950,toyota,hibride-gaz,22000,2487,218,sedan,automatic,2019
mercedesbenz c 220 cdi avantgarde be start stop,14500,mercedes-benz,diesel,278000,2143,170,combi,manual,2012
jaguar xf,32500,jaguar,diesel,140000,1999,240,sedan,automatic,2018
renault mgane coupe 1 5 dci gt line,12490,renault,diesel,129000,1461,110,coupe,manual,2012
peugeot 3008 1 5 bluehdi active,23900,peugeot,diesel,114000,1499,130,suv,manual,2017
bmw x2 18 d sdrive auto pack m,39500,bmw,diesel,47032,1995,150,suv,automatic,2018
renault mgane coupe 1 2 tce gt line ss,11500,renault,gaz,120000,1197,115,coupe,manual,2012
bmw 525,4850,bmw,diesel,260000,2497,143,sedan,manual,1998
maserati levante 3 0 v6,74900,maserati,diesel,58922,2987,275,suv,automatic,2017
vw id 3 pro performance 1st plus,41900,vw,electric,8400,,204,city-car,automatic,2020
mercedesbenz a 180 d style,24600,mercedes-benz,diesel,35187,1461,109,compact,manual,2018
renault captur 0 9 tce exclusive,15900,renault,gaz,18200,898,90,suv,manual,2017
peugeot 308 sw 1 5 bluehdi gt line,19250,peugeot,diesel,149999,1499,130,combi,manual,2018
mercedesbenz cla 200 cdi urban,19990,mercedes-benz,diesel,253300,1796,136,sedan,manual,2015
mercedesbenz slk 230 kompressor,11500,mercedes-benz,gaz,225500,2295,193,cabrio,manual,1998
mercedesbenz a 160 amg line,31000,mercedes-benz,gaz,10426,1332,109,city-car,manual,2021
audi a4 avant,16000,audi,gaz,201000,1984,211,combi,automatic,2011
citron c4 cactus 1 2 puretech feel,13900,citroen,gaz,58226,1199,82,compact,manual,2017
audi sq5 3 0 tdi quattro advance tiptronic,36900,audi,diesel,130838,2967,313,suv,automatic,2013
jeep renegade 1 6 mjd sport,28900,jeep,diesel,100,1598,130,suv,manual,2022
opel monterey 3 1 td rs,4400,opel,diesel,269000,3057,114,suv,manual,1994
vw golf variant 1 6 tdi confortline,15900,vw,diesel,173900,1598,115,combi,manual,2017
audi a3 sportback 2 0 tdi attraction s tronic,10900,audi,diesel,241778,1968,140,compact,automatic,2010
bmw 318 d touring line luxury,24500,bmw,diesel,100406,1995,150,combi,manual,2017
citron xsara break 1 4 hdi sx 03,2950,citroen,diesel,260000,1398,69,combi,manual,2003
opel corsa 1 3 cdti edition,12250,opel,diesel,84000,1248,95,compact,manual,2018
bmw 320 d touring,9600,bmw,diesel,235000,1995,163,combi,manual,2007
volvo v40 2 0 d2 rdesign geartronic,20780,volvo,diesel,122000,1969,120,compact,automatic,2017
bmw m4,56500,bmw,gaz,136131,2979,431,coupe,automatic,2015
porsche cayman 3 8 gt4,129900,porsche,gaz,20000,3800,385,coupe,manual,2015
fiat croma,4200,fiat,diesel,209877,1910,150,combi,manual,2006
jaguar fpace 2 0 i4d prestige,29900,jaguar,diesel,198000,1999,180,suv,manual,2016
jaguar xf,24980,jaguar,diesel,214201,1999,180,sedan,automatic,2016
bmw m3 auto,66990,bmw,gaz,66000,2979,431,sedan,automatic,2016
mercedesbenz glc 220 d 4matic,64950,mercedes-benz,diesel,26790,1950,194,suv,automatic,2021
renault captur,24850,renault,gaz,25073,999,100,suv,manual,2020
renault clio 1 5 dci comfort,8490,renault,diesel,209725,1461,75,city-car,manual,2016
audi a6 avant 2 0 tdi sline,32900,audi,diesel,153776,1968,190,combi,manual,2016
tesla model x p100d,110000,tesla,electric,102000,,772,suv,automatic,2019
renault clio,17400,renault,gaz,15800,999,90,city-car,manual,2021
porsche panamera s ehybrid,59499,porsche,hibride-gaz,80000,2995,416,compact,automatic,2014
opel astra caravan 1 7 cdti cosmo plus ecoflex,7900,opel,diesel,150000,1686,110,combi,manual,2010
peugeot 3008 2 0 bluehdi gt line,27400,peugeot,diesel,111076,1997,150,suv,manual,2017
bmw 316 d touring,14900,bmw,diesel,222968,1995,116,combi,manual,2014
audi q2 1 6 tdi sport s tronic,24900,audi,diesel,121081,1598,116,suv,automatic,2017
renault mgane sport tourer,15900,renault,diesel,125000,1461,110,combi,automatic,2017
bmw x4 20 d xdrive pack m auto,60865,bmw,diesel,55581,1995,190,suv,automatic,2019
renault kangoo 1 5 dci dynamique s s,9490,renault,diesel,274015,1461,90,combi,manual,2014
jaguar xk xkr 4 0 coup,37900,jaguar,gaz,123000,3996,363,coupe,automatic,1998
mercedesbenz c 250 d advantgarde 4matic aut,33490,mercedes-benz,diesel,90463,2143,204,combi,automatic,2017
peugeot 3008 1 6 bluehdi gt line eat6,23900,peugeot,diesel,111900,1560,120,suv,automatic,2018
tesla model s p100d,72150,tesla,electric,140000,,772,sedan,automatic,2017
vw scirocco 2 0 tdi sport dsg,24990,vw,diesel,94521,1968,184,coupe,automatic,2015
mercedesbenz e 220 d amg line,57500,mercedes-benz,diesel,84000,1950,194,coupe,automatic,2019
ford mustang 5 0 tivct gt,75000,ford,gaz,67948,4951,419,coupe,manual,2012
mercedesbenz s 400,85000,mercedes-benz,diesel,47500,2925,340,sedan,automatic,2018
hyundai santa fe 2 2 crdi 7wagon style,18950,hyundai,diesel,220000,2199,197,suv,manual,2014
bmw 540 d xdrive pack m auto,53900,bmw,diesel,127955,2993,320,city-car,automatic,2018
smart forfour electric drive passion,15900,smart,electric,31349,400,82,city-car,automatic,2018
seat toledo 2 3 v5,3990,seat,gaz,246000,2324,150,sedan,manual,1999
vw passat,8990,vw,diesel,286214,1896,105,sedan,manual,2008
ford mustang mache standard awd,69800,ford,electric,7,,269,suv,automatic,2022
hyundai i30 1 6 crdi style plus,19500,hyundai,diesel,63362,1598,116,city-car,manual,2019
porsche cayenne turbo,58990,porsche,gaz,74000,4806,500,suv,automatic,2010
peugeot 107,7750,peugeot,gaz,99000,998,68,city-car,automatic,2011
bmw 740 e iperformance pack m,52000,bmw,hibride-gaz,54000,1998,326,sedan,automatic,2016
bmw m4 auto,65000,bmw,gaz,105000,2979,431,coupe,automatic,2015
bmw m850i xdrive,111000,bmw,gaz,40000,4395,530,cabrio,automatic,2019
peugeot 308 sw 1 6 bluehdi style,15490,peugeot,diesel,144000,1560,120,combi,manual,2017
opel corsae elegance,29900,opel,electric,20223,,136,city-car,automatic,2020
bmw 318 d line sport,13990,bmw,diesel,260000,1995,143,sedan,manual,2012
ferrari california,127990,ferrari,gaz,63000,4297,460,cabrio,automatic,2009
peugeot 2008 1 2 puretech allure eat6,17450,peugeot,gaz,94379,1199,110,suv,automatic,2019
bmw 320 d,13999,bmw,diesel,250000,1995,177,coupe,manual,2010
bmw 320 d touring ed advantage auto,23750,bmw,diesel,161328,1995,163,combi,automatic,2017
nissan patrol gr 2 8 curto,15950,nissan,diesel,225000,2826,115,suv,manual,1994
audi rs5 sportback,119950,audi,gaz,1935,2894,450,city-car,automatic,2021
vw golf variant 1 6 tdi highline,12500,vw,diesel,292880,1598,105,combi,manual,2014
bmw 525 d line luxury auto,37900,bmw,diesel,116000,1995,231,combi,automatic,2017
mercedesbenz c 200 d amg line aut,28500,mercedes-benz,diesel,152950,1598,136,combi,automatic,2017
toyota corolla verso 2 2 d4d sol,10400,toyota,diesel,200000,2231,136,minivan,manual,2008
peugeot 3008,13900,peugeot,diesel,170000,1600,115,suv,automatic,2014
nissan qashqai 1 5 dci 360,18980,nissan,diesel,101000,1461,110,suv,manual,2016
renault captur 1 5 dci exclusive,17450,renault,diesel,36100,1461,110,suv,manual,2018
peugeot 3008 1 6 bluehdi allure eat6 j18,23500,peugeot,diesel,142985,1560,120,suv,automatic,2017
renault mgane sport tourer 1 5 dci dynamique,7800,renault,diesel,270000,1461,90,combi,manual,2011
bmw i3 94ah comfort package advance,23500,bmw,electric,59414,400,170,city-car,automatic,2017
mercedesbenz a 180 d style plus aut,27990,mercedes-benz,diesel,30000,1461,116,compact,automatic,2018
seat alhambra,5490,seat,diesel,224770,1896,115,minivan,manual,2005
mercedesbenz s 320 standard,3990,mercedes-benz,gaz,467000,3199,224,sedan,automatic,1999
renault mgane sport tourer 1 5 dci gt line,16950,renault,diesel,172720,1461,110,combi,manual,2017
bmw 320 d touring auto,13250,bmw,diesel,165000,1995,177,combi,automatic,2008
renault captur 1 5 dci exclusive,14900,renault,diesel,151000,1461,90,suv,manual,2015
porsche panamera standard,59950,porsche,diesel,180000,2967,300,sedan,automatic,2014
nissan qashqai 1 5 dci tekna na,7750,nissan,diesel,279000,1461,106,sedan,manual,2008
dacia duster 1 3 tce prestige,19990,dacia,gaz,16000,1332,130,suv,manual,2021
bmw 218,23900,bmw,diesel,155000,2000,143,coupe,automatic,2014
opel vectra gts 1 9 cdti,6000,opel,diesel,277000,1910,150,sedan,manual,2008
ford smax 1 8 tdci titanium 5l,7500,ford,diesel,263733,1753,125,minivan,manual,2007
ford focus 1 6 tdci trend,5900,ford,diesel,227000,1560,109,compact,manual,2007
tesla model s 85 perfomance,45000,tesla,electric,231810,,421,sedan,automatic,2013
vw golf 1 9 tdi confortline,4250,vw,diesel,296000,1896,90,sedan,manual,1999
bmw 118 d,9500,bmw,diesel,370000,1995,143,compact,manual,2009
renault mgane coupe 1 4 16v sport,2750,renault,gaz,221952,1390,95,coupe,manual,2001
audi q5 2 0 tdi quattro sline stronic,30900,audi,diesel,112967,1968,177,suv,automatic,2015
audi a1 citycarver 30 tfsi,27990,audi,gaz,11000,999,116,compact,manual,2020
kia stonic 1 0 tgdi drive,20990,kia,gaz,10,998,100,suv,manual,2022
mercedesbenz c 220 bluetec avantgarde aut,27900,mercedes-benz,diesel,113851,2143,170,sedan,automatic,2014
renault clio 1 5 dci confort,7890,renault,diesel,214698,1461,90,city-car,manual,2015
bmw 530 da touring,3500,bmw,diesel,295000,2926,184,combi,automatic,2000
bmw 123 d,13500,bmw,diesel,299000,1995,204,coupe,manual,2008
citron c4 cactus 1 2 puretech live,15900,citroen,gaz,73251,1199,82,compact,manual,2017
land rover range rover evoque 1 5 p160 auto,51900,land-rover,gaz,6000,1498,160,suv,automatic,2021
bmw 116 d edynamics line sport,19990,bmw,diesel,47251,1496,116,compact,manual,2016
mercedesbenz c 220 cdi classic,8000,mercedes-benz,diesel,270000,2148,143,sedan,manual,2003
mercedesbenz c 200 d avantgarde aut,35900,mercedes-benz,diesel,81800,1598,160,combi,automatic,2019
renault twingo 0 9 tce sport,11990,renault,gaz,28392,898,90,city-car,manual,2016
bmw x5,44800,bmw,diesel,96577,1995,231,suv,automatic,2017
bmw 520 d auto,31990,bmw,diesel,215000,1995,190,sedan,automatic,2019
bmw 320,12900,bmw,diesel,161035,1995,177,sedan,manual,2009
peugeot 207 cc 1 6 16v,6990,peugeot,gaz,159000,1598,120,cabrio,manual,2010
bmw x1 16 d sdrive advantage,19490,bmw,diesel,266643,1496,116,suv,manual,2017
nissan qashqai 1 6 dci nconnecta 18 ps xtronic,22990,nissan,diesel,92792,1598,130,suv,automatic,2016
ford fiesta 1 0 t ecoboost titanium powershift,12500,ford,gaz,100000,998,100,city-car,automatic,2015
nissan qashqai 1 5 dci nconnecta business,21700,nissan,diesel,81478,1461,110,suv,manual,2017
opel corsa 1 3 cdti business edition,12500,opel,diesel,103352,1248,95,city-car,manual,2018
ford ka 1 2 tivct black white edition,12900,ford,gaz,19000,1196,85,city-car,manual,2018
porsche panamera 4 ehybrid,89990,porsche,hibride-gaz,92674,2894,462,coupe,automatic,2017
opel astra gtc 1 3 cdti,4190,opel,diesel,282000,1248,90,coupe,manual,2008
peugeot 308 sw 1 6 hdi executive cvm6,5290,peugeot,diesel,281069,1560,110,combi,manual,2008
nissan qashqai 1 5 dci nconnecta,24750,nissan,diesel,42018,1461,115,suv,manual,2019
maserati levante 3 0 v6,68500,maserati,diesel,72000,2987,275,suv,automatic,2017
smart fortwo passion cdi 41,3750,smart,diesel,246000,799,41,mini,automatic,2002
volvo v40 cross country 2 0 d2 momentum,17950,volvo,diesel,85850,1969,120,compact,manual,2016
peugeot 3008 1 6 bluehdi allure eat6,21350,peugeot,diesel,150000,1560,120,suv,automatic,2017
peugeot expert 2 0 hdi l2 confort,10990,peugeot,diesel,288192,1997,128,minivan,manual,2014
honda civic 2 0 ivtec typer gt,42900,honda,gaz,72176,1996,320,compact,manual,2019
seat arona 1 6 tdi xcellence,18750,seat,diesel,96866,1598,95,suv,manual,2018
peugeot 3008 1 6 bluehdi active,21600,peugeot,diesel,114301,1560,120,suv,manual,2017
ford focus sw 1 5 tdci stline,17900,ford,diesel,142730,1499,120,combi,manual,2017
skoda enyaq iv 80,56490,skoda,electric,17500,,204,suv,automatic,2021
mercedesbenz c 220 d avantgarde aut,23990,mercedes-benz,diesel,220000,2143,170,sedan,automatic,2016
peugeot 3008 1 6 bluehdi crossway eat6,25250,peugeot,diesel,85000,1560,120,suv,automatic,2018
vw passat 2 0 tdi confortline,21700,vw,diesel,122491,1968,150,sedan,manual,2017
vw tcross 1 0 tsi style,25000,vw,gaz,10076,999,110,suv,manual,2021
bmw 520 da touring,9900,bmw,diesel,191450,1995,177,combi,automatic,2007
opel astra caravan 1 7 cdti cosmo,4990,opel,diesel,259000,1686,100,combi,manual,2004
audi a3 sportback 1 6 tdi,22990,audi,diesel,66676,1598,116,sedan,manual,2018
mercedesbenz ml 350 standard,14990,mercedes-benz,gaz,408246,3498,272,suv,automatic,2005
peugeot 2008 1 2 puretech style,16800,peugeot,gaz,12000,1199,83,suv,manual,2019
audi q2 1 6 tdi,28500,audi,diesel,35182,1598,116,suv,manual,2019
peugeot 308 sw 1 6 bluehdi style j17,13499,peugeot,diesel,149000,1560,120,combi,manual,2018
audi a1 1 4 tdi sline,17980,audi,diesel,117000,1422,90,city-car,manual,2017
vw golf 1 6 tdi highline,16900,vw,diesel,157000,1598,115,compact,manual,2017
bmw m4 auto,61000,bmw,gaz,63500,2979,431,coupe,automatic,2015
abarth 595 1 4 tjet turismo,19900,abarth,gaz,54700,1368,165,mini,manual,2018
bmw 118 d,8950,bmw,diesel,270000,1995,143,compact,manual,2009
peugeot 107 1 0 trendy,5980,peugeot,gaz,86000,998,68,compact,manual,2008
smart fortwo electric drive passion,18499,smart,electric,24189,1000,82,city-car,automatic,2020
bmw 520 d xdrive pack m auto,47750,bmw,diesel,140000,1995,190,combi,automatic,2019
renault 4,6000,renault,gaz,68000,1108,50,combi,manual,1982
opel corsa,2300,opel,diesel,333380,1248,75,city-car,manual,2008
vw tiguan 1 4 tsi sport 4motion,11400,vw,gaz,150000,1390,150,suv,manual,2008
seat ibiza sc 1 9 tdi sport dpf,9500,seat,diesel,134275,1896,105,city-car,manual,2008
peugeot 208 1 2 puretech allure,12990,peugeot,gaz,48500,1199,82,city-car,manual,2017
fiat punto evo 1 3 mjet dynamic,5850,fiat,diesel,180000,1248,85,city-car,manual,2011
mini cooper d,11850,mini,diesel,119000,1598,112,city-car,manual,2013
seat ibiza 1 6 tdi style,19600,seat,diesel,40184,1598,95,city-car,manual,2020
seat ateca 1 0 tsi reference,18900,seat,gaz,129000,999,115,suv,manual,2019
peugeot 3008 1 6 bluehdi allure eat6 j18,26900,peugeot,diesel,118000,1560,120,suv,automatic,2017
mercedesbenz e 220 cdi avantgarde,10900,mercedes-benz,diesel,263028,2148,150,sedan,manual,2006
toyota bj 40,49999,toyota,diesel,250,2997,76,suv,manual,1980
vw polo 1 2 tdi match,7900,vw,diesel,130000,1199,75,city-car,manual,2013
renault zoe intens,10990,renault,electric,70000,,88,mini,automatic,2014
mercedesbenz e 250 bluetec avantgarde auto,31000,mercedes-benz,diesel,103500,2143,204,sedan,automatic,2015
mazda mx5 mzr 1 5 rf sky evolve navi,26999,mazda,gaz,43554,1496,131,cabrio,manual,2018
porsche cayenne platinum edition,61500,porsche,diesel,130000,2967,263,suv,automatic,2017
smart fortwo 0 8 cdi pulse 54,6750,smart,diesel,202000,799,54,mini,automatic,2011
mercedesbenz slk 200 k,15900,mercedes-benz,gaz,130000,1796,163,cabrio,manual,2007
vw polo 1 6 tdi highline,16980,vw,diesel,173854,1598,95,compact,manual,2019
renault clio 1 5 dci dynamique s,11750,renault,diesel,128000,1461,90,compact,manual,2014
seat leon st 1 6 tdi style s s,13790,seat,diesel,165292,1598,115,combi,manual,2017
mercedesbenz s 400 d 4matic,153000,mercedes-benz,diesel,32000,2925,340,sedan,automatic,2021
toyota iq 1 0kgj10,5500,toyota,gaz,151000,998,68,city-car,manual,2009
mercedesbenz sl 300,19500,mercedes-benz,gaz,200000,2960,231,compact,automatic,1992
smart fortwo electric drive passion,17900,smart,electric,25000,,82,cabrio,automatic,2018
audi a4 avant 1 9 tdi m6 sport,6350,audi,diesel,325570,1896,130,combi,manual,2003
mitsubishi asx 1 6 mivec intense connect edition,27950,mitsubishi,gaz,20920,1590,117,suv,manual,2020
renault clio 1 5 dci limited,13990,renault,diesel,190046,1461,90,compact,manual,2018
mercedesbenz glc 220,57900,mercedes-benz,diesel,46000,2143,163,suv,automatic,2018
renault kangoo 1 5dcifc1e,3380,renault,diesel,228580,1461,68,minivan,manual,2006
nissan juke 1 5 dci tekna premium 129g,11490,nissan,diesel,145000,1461,110,suv,manual,2013
renault twingo 1 0 sce limited,10990,renault,gaz,48389,999,70,mini,manual,2017
audi a3 sportback 30 tfsi,26000,audi,gaz,11356,999,110,compact,manual,2021
peugeot 508 sw 1 6 ehdi allure 2tronic 105g,13650,peugeot,diesel,108000,1560,115,combi,automatic,2013
vw golf 1 2 tsi confortline,10990,vw,gaz,143787,1197,105,sedan,manual,2012
fiat bravo 1 6 mjet kit sport puro2,7850,fiat,diesel,149000,1598,105,compact,manual,2010
lancia ypsilon 1 2 s s silver,7490,lancia,gaz,88000,1242,69,compact,manual,2013
peugeot 308 1 6 bluehdi allure j18 eat6,14750,peugeot,diesel,149000,1560,120,compact,automatic,2017
kia sportage 1 6 gdi isg nav line,20500,kia,gaz,67000,1591,132,suv,manual,2018
mercedesbenz gla 220 d amg line,49490,mercedes-benz,diesel,13621,2143,170,suv,automatic,2020
dodge challenger,60000,dodge,gaz,74000,3597,309,coupe,automatic,2019
mercedesbenz glc 220 d 4matic,67700,mercedes-benz,diesel,12000,1950,194,suv,automatic,2021
seat arona 1 0 tsi xcellence,18950,seat,gaz,22000,999,95,suv,manual,2020
peugeot 5008,10590,peugeot,diesel,239000,1560,115,combi,automatic,2015
seat ibiza 1 0 style,15390,seat,gaz,14250,999,80,compact,manual,2021
mitsubishi space star 1 2 intense cvt,13450,mitsubishi,gaz,30000,1193,80,city-car,automatic,2019
peugeot 308 sw 1 5 bluehdi active,18500,peugeot,diesel,138894,1499,130,combi,manual,2019
toyota yaris 1 0 vvti comfort p style,9990,toyota,gaz,124000,998,69,city-car,manual,2015
mercedesbenz c 200 bluetec amg line,24999,mercedes-benz,diesel,120000,1598,136,sedan,manual,2015
opel astra sports tourer,7900,opel,diesel,230000,1686,110,combi,manual,2011
mercedesbenz c 350 e,37490,mercedes-benz,hibride-gaz,67167,1991,279,combi,automatic,2018
hyundai bayon 1 0 tgdi premium,21499,hyundai,gaz,2700,998,102,suv,manual,2021
mercedesbenz a 180 d progressive aut,39500,mercedes-benz,diesel,10000,1950,116,compact,automatic,2021
peugeot 508 1 5 bluehdi business line eat8,21999,peugeot,diesel,145000,1499,130,sedan,automatic,2018
bmw 116 i line sport,18990,bmw,gaz,50750,1499,109,compact,manual,2017
volvo v40 1 6 d2 momentum powershift,14450,volvo,diesel,180000,1560,115,compact,automatic,2013
seat ibiza 1 0 reference,15500,seat,gaz,20859,999,80,city-car,manual,2019
mazda mx5 1 6 16v serie especial,9999,mazda,gaz,81997,1598,110,cabrio,manual,2001
smart fortwo 0 9 passion 90 aut,12900,smart,gaz,36000,898,90,mini,automatic,2018
seat alhambra 2 0 tdi style advanced,29900,seat,diesel,73750,1968,150,minivan,manual,2017
ford cmax 1 5 tdci titanium ps s s,16750,ford,diesel,76345,1499,120,minivan,automatic,2016
smart fortwo,7350,smart,gaz,73000,999,71,cabrio,automatic,2011
mercedesbenz e 220 d avantgarde,38750,mercedes-benz,diesel,147044,1950,194,sedan,automatic,2016
bmw 530 d auto,44250,bmw,diesel,49887,2993,265,combi,automatic,2018
mini cooper d,16750,mini,diesel,150000,1496,116,city-car,manual,2015
opel astra sports tourer,11980,opel,gpl,81951,1364,140,combi,manual,2014
lancia delta 1 6 mjet argento,8900,lancia,diesel,154432,1598,120,compact,manual,2010
mercedesbenz cls 450,70900,mercedes-benz,hibride-gaz,67453,2999,367,coupe,automatic,2019
vw passat variant 2 0 tdi confortline,7500,vw,diesel,180000,1968,140,combi,manual,2006
renault mgane sport tourer 1 5 blue dci limited,17250,renault,diesel,155000,1461,115,combi,manual,2019
renault laguna break 2 0 dci confort,5500,renault,diesel,240000,1995,150,combi,manual,2008
bmw x3 25 d xdrive pack m,64900,bmw,diesel,19109,1995,231,suv,automatic,2019
peugeot 308 sw 1 6 bluehdi active,18900,peugeot,diesel,69374,1560,100,combi,manual,2018
bmw 520 da touring executive,10900,bmw,diesel,200000,1995,177,combi,automatic,2009
renault zoe zen 40,26500,renault,electric,1152,,109,city-car,automatic,2020
bmw 114 d line sport,11500,bmw,diesel,160000,1598,95,compact,manual,2013
renault twingo 1 0 sce limited,11500,renault,gaz,61506,999,70,mini,manual,2019
citron mehari emehari,20990,citroen,electric,3000,,68,cabrio,automatic,2017
seat leon st 1 6 tdi style s s,17290,seat,diesel,116467,1598,115,combi,manual,2018
vw polo 1 0 confortline ac,3490,vw,gaz,114000,999,50,city-car,manual,2003
peugeot 2008 1 6 ehdi allure,13500,peugeot,diesel,162000,1560,92,suv,manual,2014
peugeot 3008 1 5 bluehdi gt line eat8,28990,peugeot,diesel,97296,1499,130,suv,automatic,2019
bmw 320 d touring navigation,8900,bmw,diesel,250000,1995,177,combi,manual,2009
opel corsa 1 0 t dynamic,12700,opel,gaz,21832,999,90,city-car,manual,2018
volvo xc 60 2 0 d4 inscription geartronic,46800,volvo,diesel,98200,1969,190,suv,automatic,2019
ford focus sw 1 6 tdci titanium,8990,ford,diesel,154619,1560,115,combi,manual,2011
smart fortwo 1 0 passion 71 aut,10490,smart,gaz,59356,999,71,city-car,automatic,2016
bmw 320 d,15000,bmw,diesel,201000,1995,177,coupe,manual,2010
mazda mx5 1 8,16500,mazda,gaz,136000,1840,131,cabrio,manual,1994
citron ds3 1 6 hdi airdream so chic,9990,citroen,diesel,145000,1560,92,city-car,manual,2011
renault mgane sport tourer 1 5 dci intens,17250,renault,diesel,158487,1461,110,combi,manual,2016
peugeot 2008 1 5 bluehdi gt,29500,peugeot,diesel,10576,1499,110,suv,manual,2021
porsche 930,200000,porsche,gaz,61350,3299,231,cabrio,manual,1989
peugeot e2008 gt line,37490,peugeot,electric,14730,500,136,suv,automatic,2021
renault clio break,10900,renault,diesel,142000,1461,90,city-car,manual,2015
volvo v40 2 0 d2 rdesign,23200,volvo,diesel,82600,1969,120,compact,manual,2017
hyundai santa fe 2 2 crdi premium,47950,hyundai,diesel,20088,2199,200,suv,automatic,2020
datsun fairlady,44000,datsun,gaz,1000,1600,96,cabrio,manual,1969
vw up,12980,vw,gaz,32995,999,60,city-car,automatic,2018
vw polo 1 0 conceptline,1750,vw,gaz,204000,999,50,city-car,manual,2001
mercedesbenz c 220 d avantgarde aut,29900,mercedes-benz,diesel,100000,2143,170,sedan,automatic,2016
opel corsa,3200,opel,diesel,179000,1248,75,city-car,manual,2008
bmw 418 gran coup d pack m,24500,bmw,diesel,157000,1995,150,sedan,manual,2016
seat ibiza 1 2 12v style,8000,seat,gaz,132502,1198,70,compact,manual,2011
bmw m550d xdrive auto,65750,bmw,diesel,104000,2993,400,combi,automatic,2017
toyota chr 1 8 hybrid exclusive p luxury,35250,toyota,hibride-gaz,21500,1798,122,suv,automatic,2021
bmw 420 gran coup d pack m auto,32000,bmw,diesel,170000,1995,184,sedan,automatic,2015
opel karl,9990,opel,gpl,74378,999,75,compact,manual,2016
bmw 525 d,10750,bmw,diesel,203000,2497,177,sedan,manual,2005
vw scirocco 2 0 tdi sport,20990,vw,diesel,131000,1968,140,coupe,manual,2014
abarth 595 1 4 tjet competizione,29900,abarth,gaz,5100,1368,180,mini,manual,2020
citron c3 1 1 sx pack,4750,citroen,gaz,126000,1124,61,city-car,manual,2007
renault clio sport tourer 1 5 dci confort,8500,renault,diesel,198000,1461,90,combi,manual,2015
smart fortwo electric drive passion,18499,smart,electric,23020,1000,82,city-car,automatic,2020
mini countryman cooper auto,29900,mini,gaz,51693,1499,136,compact,automatic,2019
audi a4 avant,7900,audi,diesel,299732,1896,130,combi,manual,2002
fiat 500 1 2 sport,8000,fiat,gaz,72500,1242,69,mini,manual,2010
kia optima 1 7 crdi tx,16990,kia,diesel,90000,1685,136,sedan,manual,2014
renault laguna break 2 0 dci dynamique s 4control 120g,9300,renault,diesel,260000,1995,150,combi,manual,2013
seat leon,11990,seat,diesel,177256,1598,105,combi,manual,2014
mazda 6 2 0 mzrcd comfort,4990,mazda,diesel,247827,1998,120,sedan,manual,2003
audi a4 avant 2 0 tdi sport,26850,audi,diesel,130000,1968,150,combi,manual,2016
mini john cooper works,16950,mini,gaz,130000,1598,211,city-car,manual,2012
ferrari f430,175000,ferrari,gaz,64000,4308,490,cabrio,automatic,2010
toyota hilux 2 4 d ln90l xcab,7250,toyota,diesel,132000,2446,83,suv,manual,1997
renault captur 1 0 tce intens,22000,renault,gaz,10678,999,90,suv,manual,2021
toyota prius 1 8 luxury,32000,toyota,hibride-gaz,38144,1798,136,minivan,automatic,2019
vw golf,15990,vw,diesel,130000,1598,105,compact,automatic,2015
volvo xc 40 2 0 d4 rdesign awd,39900,volvo,diesel,32867,1969,190,suv,automatic,2018
audi a4 1 9 tdi m6 sport,5500,audi,diesel,280000,1896,130,sedan,manual,2004
vw golf 2 0 tdi gtd dsg,15000,vw,diesel,208946,1968,170,compact,automatic,2009
dacia duster 1 2 tce prestige,13750,dacia,gaz,107000,1197,125,suv,manual,2014
citron berlingo,6500,citroen,diesel,363248,1560,90,combi,manual,2011
peugeot 208 1 6 bluehdi style,12990,peugeot,diesel,108719,1560,100,compact,manual,2016
renault clio 1 2 16v confort,6490,renault,gaz,203000,1149,75,city-car,manual,2008
citron ds3 1 6 thp sport chic,9250,citroen,gaz,88000,1598,156,city-car,manual,2010
mini cooper d,10950,mini,diesel,194000,1560,110,city-car,manual,2010
